city,lat,lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
maldonado,-34.6667,-54.9167,78.01,83,40,9.22,UY,1613409510
ternate,0.8,127.4,81.18,79,100,10.07,ID,1613409510
muravlenko,63.7898,74.523,-17.05,89,43,11.34,RU,1613409510
asau,46.4333,26.4,25.0,51,89,5.7,RO,1613409510
tres arroyos,-38.3739,-60.2798,65.7,71,100,16.96,AR,1613409511
guantanamo,20.1444,-75.2092,86.0,62,20,13.8,CU,1613409265
gweta,-20.1833,25.2333,85.19,49,81,7.78,BW,1613409511
susaki,33.3667,133.2833,42.19,65,0,11.86,JP,1613409512
yumen,40.2833,97.2,32.18,78,99,9.4,CN,1613409512
san patricio,28.017,-97.5169,23.0,86,75,20.71,US,1613409512
novichikha,52.204,81.3877,20.88,93,100,13.11,RU,1613409512
ulagan,50.6321,87.9563,16.09,81,94,3.24,RU,1613409512
san quintin,30.4833,-115.95,58.77,68,71,6.6,MX,1613409512
cravo norte,6.3017,-70.2041,95.47,35,75,12.91,CO,1613409512
coihaique,-45.5752,-72.0662,69.8,32,0,5.75,CL,1613409488
cap-aux-meules,47.3821,-61.8597,26.6,63,100,13.8,CA,1613409513
rocha,-34.4833,-54.3333,79.48,65,98,8.88,UY,1613409513
iquique,-20.2208,-70.1431,77.0,50,0,18.41,CL,1613409454
savannah bight,16.45,-85.85,84.2,74,20,9.93,HN,1613409513
okhotsk,59.3833,143.3,1.27,85,100,4.52,RU,1613409514
tari,12.4086,4.4914,97.59,9,0,9.51,NG,1613409514
beysehir,37.6773,31.7246,37.09,84,98,9.48,TR,1613409514
hambantota,6.1241,81.1185,76.89,83,77,8.12,LK,1613409514
mango,27.9797,-82.3065,82.99,74,90,6.91,US,1613409514
urumqi,43.801,87.6005,17.6,93,75,4.47,CN,1613409515
komsomolskiy,40.4272,71.7189,51.8,32,0,9.22,UZ,1613409515
dawei,14.0833,98.2,69.78,86,6,3.15,MM,1613409515
kushiro,42.975,144.3747,40.14,93,100,28.86,JP,1613409515
samarai,-10.6167,150.6667,81.46,77,89,6.55,PG,1613409515
bay roberts,47.5999,-53.2648,30.99,64,54,5.99,CA,1613409516
severodvinsk,64.5635,39.8302,-4.0,84,75,2.24,RU,1613409516
